Zona;Subzona;Canton;Presunta_Subinfraccion;Fecha de Detencion;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;11-01-16;FLAGRANTE;MUJER;30;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;11-01-16;FLAGRANTE;HOMBRE;37;COLOMBIA
ZONA 9;DMQ;QUITO;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;11-01-16;FLAGRANTE;HOMBRE;27;COLOMBIA
ZONA 9;DMQ;QUITO;VARIOS;11-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;11-01-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;11-01-16;FLAGRANTE;MUJER;24;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;11-01-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;11-01-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;11-01-16;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;11-01-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;12-01-16;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;12-01-16;BOLETA;HOMBRE;52;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;12-01-16;FLAGRANTE;HOMBRE;48;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;12-01-16;BOLETA;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;12-01-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;ACOSO SEXUAL;12-01-16;FLAGRANTE;HOMBRE;80;ECUADOR
